filename	frame_nb	local_id_bonds	bond_size_in_px	bond_length_in_px	bond_orientation	vx_1_x	vx_1_y	vx_2_x	vx_2_y	sum_px_int_vertices_excluded_ch1	sum_px_int_vertices_excluded_ch2	sum_px_int_vertices_excluded_ch3	sum_px_int_vertices_excluded_12bits	sum_px_int_vertices_included_ch1	sum_px_int_vertices_included_ch2	sum_px_int_vertices_included_ch3	sum_px_int_vertices_included_12bits	first_pixel_x_bonds	first_pixel_y_bonds	cell_id_around_bond1	cell_id_around_bond2	
E14_75I_6_0.tif	9	55	6	6.656854249492381	129.0	35	166	31	171	3505.0	1430.0	320.0	3505.0	5761.0	2417.0	528.0	5761.0	34	167	6	38
E14_75I_6_0.tif	9	56	31	30.82842712474619	4.0	31	171	1	169	39980.0	5475.0	5765.0	39980.0	42139.0	6174.0	5940.0	42139.0	30	171	6	7
E14_75I_6_0.tif	9	57	12	11.828427124746192	90.0	1	169	1	158	6630.0	2978.0	392.0	6630.0	7751.0	4013.0	474.0	7751.0	0	168	null	null
E14_75I_6_0.tif	9	58	23	26.970562748477146	61.0	31	171	43	193	26860.0	4631.0	2258.0	26860.0	29213.0	5393.0	2433.0	29213.0	32	172	38	7
E14_75I_6_0.tif	9	59	27	32.627416997969526	122.0	43	193	27	219	18905.0	5833.0	1129.0	18905.0	20399.0	6626.0	1262.0	20399.0	42	194	34	7
E14_75I_6_0.tif	9	60	27	28.48528137423857	171.0	27	219	1	223	25710.0	6996.0	1747.0	25710.0	27598.0	7595.0	1940.0	27598.0	26	219	7	8
E14_75I_6_0.tif	9	61	55	54.828427124746185	90.0	1	223	1	169	57134.0	9895.0	4794.0	57134.0	58708.0	10696.0	4932.0	58708.0	0	222	null	null
E14_75I_6_0.tif	9	62	6	5.82842712474619	68.0	27	219	29	224	2572.0	2112.0	196.0	2572.0	3960.0	2746.0	358.0	3960.0	27	220	34	8
E14_75I_6_0.tif	9	63	21	25.798989873223338	132.0	29	224	13	242	17271.0	3845.0	1440.0	17271.0	18739.0	4631.0	1558.0	18739.0	28	225	8	25
E14_75I_6_0.tif	9	64	6	5.414213562373095	169.0	13	242	8	243	2578.0	2304.0	151.0	2578.0	4032.0	3208.0	237.0	4032.0	12	243	8	10
E14_75I_6_0.tif	9	65	16	17.899494936611667	65.0	8	243	1	228	7648.0	3604.0	1160.0	7648.0	9004.0	4400.0	1315.0	9004.0	8	242	8	9
E14_75I_6_0.tif	9	66	6	5.82842712474619	90.0	1	228	1	223	3237.0	1099.0	556.0	3237.0	5107.0	1742.0	774.0	5107.0	0	227	null	null
E14_75I_6_0.tif	9	67	8	9.899494936611667	135.0	8	243	1	250	3941.0	1365.0	261.0	3941.0	5199.0	2254.0	340.0	5199.0	7	244	9	10
E14_75I_6_0.tif	9	68	23	22.82842712474619	90.0	1	250	1	228	15651.0	1913.0	4765.0	15651.0	17131.0	2622.0	4927.0	17131.0	0	249	null	null
E14_75I_6_0.tif	9	69	20	23.142135623730955	62.0	13	242	23	261	22737.0	4874.0	924.0	22737.0	24861.0	5841.0	1041.0	24861.0	14	243	25	10
E14_75I_6_0.tif	9	70	4	4.242640687119286	135.0	23	261	20	264	2179.0	862.0	277.0	2179.0	4438.0	1498.0	493.0	4438.0	22	262	10	31
E14_75I_6_0.tif	9	71	20	20.65685424949238	6.0	20	264	1	262	23912.0	3378.0	2263.0	23912.0	25585.0	3818.0	2466.0	25585.0	19	263	10	11
E14_75I_6_0.tif	9	72	13	12.828427124746192	90.0	1	262	1	250	7039.0	3748.0	491.0	7039.0	8381.0	4504.0	588.0	8381.0	0	261	null	null
E14_75I_6_0.tif	9	73	25	28.970562748477146	54.0	20	264	35	285	20935.0	6636.0	3272.0	20935.0	22589.0	7311.0	3464.0	22589.0	20	265	11	31
E14_75I_6_0.tif	9	74	24	29.213203435596434	129.0	35	285	18	306	26117.0	6423.0	1127.0	26117.0	27739.0	7765.0	1220.0	27739.0	34	286	11	29
E14_75I_6_0.tif	9	75	18	19.899494936611667	158.0	18	306	1	313	20040.0	3388.0	1673.0	20040.0	22916.0	4282.0	1938.0	22916.0	17	307	11	12
E14_75I_6_0.tif	9	76	52	51.828427124746185	90.0	1	313	1	262	63536.0	6660.0	12986.0	63536.0	66073.0	7157.0	13255.0	66073.0	0	312	null	null
E14_75I_6_0.tif	9	77	10	11.071067811865476	29.0	18	306	27	311	5961.0	2874.0	346.0	5961.0	8059.0	4140.0	447.0	8059.0	19	306	12	29
E14_75I_6_0.tif	9	78	14	15.071067811865477	111.0	27	311	22	324	16850.0	4754.0	979.0	16850.0	19260.0	5660.0	1109.0	19260.0	27	312	32	12
